I tensorflow/stream_executor/dso_loader.cc:105] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:105] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:105] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:105] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:105] successfully opened CUDA library libcurand.so locally
I tensorflow/core/common_runtime/gpu/gpu_init.cc:102] Found device 0 with properties: 
name: GeForce GTX TITAN X
major: 5 minor: 2 memoryClockRate (GHz) 1.076
pciBusID 0000:06:00.0
Total memory: 12.00GiB
Free memory: 11.87GiB
I tensorflow/core/common_runtime/gpu/gpu_init.cc:126] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_init.cc:136] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:755] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce GTX TITAN X, pci bus id: 0000:06:00.0)
2016-04-25 13:47:57.753471: step 10, duration = 0.159
2016-04-25 13:47:59.342040: step 20, duration = 0.160
2016-04-25 13:48:00.932890: step 30, duration = 0.159
2016-04-25 13:48:02.523590: step 40, duration = 0.159
2016-04-25 13:48:04.117070: step 50, duration = 0.160
2016-04-25 13:48:05.710548: step 60, duration = 0.160
2016-04-25 13:48:07.303214: step 70, duration = 0.159
2016-04-25 13:48:08.894066: step 80, duration = 0.159
2016-04-25 13:48:10.490060: step 90, duration = 0.159
2016-04-25 13:48:11.925424: Forward across 100 steps, 0.158 +/- 0.016 sec / batch
2016-04-25 13:48:23.395210: step 10, duration = 0.544
2016-04-25 13:48:28.839546: step 20, duration = 0.545
2016-04-25 13:48:34.287994: step 30, duration = 0.546
2016-04-25 13:48:39.734013: step 40, duration = 0.542
2016-04-25 13:48:45.185569: step 50, duration = 0.546
2016-04-25 13:48:50.636499: step 60, duration = 0.545
2016-04-25 13:48:56.088808: step 70, duration = 0.545
2016-04-25 13:49:01.539024: step 80, duration = 0.544
2016-04-25 13:49:06.995601: step 90, duration = 0.545
2016-04-25 13:49:11.909986: Forward-backward across 100 steps, 0.540 +/- 0.054 sec / batch
