Running on device: Graphics Device
ModelType: VGG Model-A	Kernels: cuda-convnet2	Input shape: 3x224x224x64
cuda-convnet2                           :updateOutput():     408.31
cuda-convnet2                        :updateGradInput():     467.05
cuda-convnet2                      :accGradParameters():     354.93
cuda-convnet2                                  :Forward:     408.31
cuda-convnet2                                 :Backward:     821.98
cuda-convnet2                                    :TOTAL:    1230.29

ModelType: OverFeat[fast]	Kernels: cuda-convnet2	Input shape: 3x231x231x128
cuda-convnet2                           :updateOutput():     176.62
cuda-convnet2                        :updateGradInput():     301.79
cuda-convnet2                      :accGradParameters():     246.55
cuda-convnet2                                  :Forward:     176.62
cuda-convnet2                                 :Backward:     548.34
cuda-convnet2                                    :TOTAL:     724.95

ModelType: AlexNet	Kernels: cuda-convnet2	Input shape: 3x224x224x128
cuda-convnet2                           :updateOutput():      42.26
cuda-convnet2                        :updateGradInput():      72.91
cuda-convnet2                      :accGradParameters():      63.72
cuda-convnet2                                  :Forward:      42.26
cuda-convnet2                                 :Backward:     136.63
cuda-convnet2                                    :TOTAL:     178.89


